SN	Question	Answer
191	Не Ш”н —«»Ўе нж”Ё ж »—«ѕ—«д‘ —« ‘Ш—¬» Ш—ѕе »жѕ 	 ‘нЎ«д
192	”—«н ¬ќ—  »—«н Не Ш”«дн »е — «”  	
193	“бнќ« ѕд»«б —«»Ў? д«г‘—жЏ »« Не Ш”н »жѕ  	 “бнќ« ѕд»«б —«»Ў? д«г‘—жЏ »« нж”Ё
194	ќѕ«ждѕ Не Нн“н —« »е Бн«г»— жЌн Ш—ѕнгњ	ё—¬д
195	ѕ«” «д Бн«г»—«д «“ћгбе нж”Ё »—«н ќ—ѕгдѕ«д НРжде «” њ	Џ»—  «” 
196	Не Нн“н »—«н Рд«еШ«—е« Ќ гн «” њ	 Џ–«» ”ќ  ќѕ«ждѕ
197	ќѕ«ждѕ ё»б «“ Не “г«дн ѕ— ‘е—е«н гќ бЁ «д”«де«нн —« »—«н Бн«г»—н Ё—” «ѕ «” њ	 ё»б «“ Бн«г»— «”б«г дн“
198	Не Ш”«дн ѕ— Ќё нЏёж» ж нж”Ё Шж «ен Ш—ѕдѕ	 »—«ѕ—«д
199	Не Ш”«дн »« Н‘г«д »«“ г—ѕг —« »е Ў—Ё ќѕ« ѕЏж  гнЭШддѕ	 Бн«г»— ж Бн—ж«д‘
200	ќѕ«ждѕ Не Ш”н —« «“ »н«»«дЭе«н ШдЏ«д »е г’— ¬ж—ѕ.	 нЏёж» —«
201	Бн«г»— ж Бн—ж«д‘ НРжде г—ѕг —« »е Ў—Ё ќѕ« ѕЏж  гнЭШддѕ	»« Н‘г«д »«“
202	Бн«г»— ж Бн—ж«д‘ Не Ш”«дн —« »е Ў—Ё ќѕ« ѕЏж  гнЭШддѕ	 г—ѕг —«
203	нж”Ё Не Ш”«дн —« ѕ— ¬џж‘ Ш‘нѕ	 Бѕ— ж г«ѕ— ‘ —«
204	»—«ѕ— нж”Ё »« Не Ќ«б н »« нж”Ё »—ќж—ѕ Ш—ѕдѕ	 »« »н «ѕ»н
205	Не Ш”н »е д»жџ ж дћ«»  нж”Ё Бн »—ѕ	Б«ѕ‘«е г’—
206	ќѕ«ждѕ нж”Ё —« ѕ— ”—“гнд г’— »е Не Нн“н —”«дѕ	ёѕ—  ѕжб 
207	ћ«г “—нд Б«ѕ‘«е г’— —« гќЁн«де ѕ— Шћ« Р–«‘ дѕ	ѕ— »«— »дн«гнд »—«ѕ—‘
208	ћ«г “—нд Б«ѕ‘«е г’— —« »« Не Ќ«б н ѕ— »«— »—«ѕ—‘ »дн«гнд° Р–«‘ дѕ	гќЁн«де
209	нж”Ё »е «” ё»«б Не Ш”«дн ѕ— д“ѕнШ г—“ г’— —Ё .	»е «” ё»«б ќ«дж«ѕе ќжѕ 
210	Не ‘ќ’н »е «” ё»«б ќ«дж«ѕе ќжѕ ѕ— д“ѕнШ г—“ г’— —Ё .	нж”Ё
211	Не Ш”н ё—¬д —« н«ѕ гнЭѕеѕ	 ќѕ«н —Ќг«д 
212	ќѕ«н —Ќг«д Не Нн“н —« н«ѕ гнЭѕеѕ	 ё—¬д —« 
213	Не Ш”н «д”«д —« Э¬Ё—нѕ	 ќѕ«
214	ќѕ«ждѕ Не Нн“н —« »е «д”«д гнЭ¬гж“ѕ	“ѕд Ќ—Ё
215	Не Ш”н Ќ—Ё “ѕд —« »е «д”«д гнЭ¬гж“ѕ	 ќѕ«ждѕ
216	«д”«де« ѕ— Ш‘нѕд Ш«б«е« Не дШддѕ	Шг ж “н«ѕ дШднѕ
217	«д”«де« ѕ— Не Ш«—н Шг ж “н«ѕ дШддѕ	 ѕ— Ш‘нѕд Ш«б«е«
218	ќѕ«ждѕ Не ћ«нн —« »—«н “дѕРн «д”«де« ген« Ш—ѕе «” 	“гнд ег —« 
219	Не Ш”н “гнд —« ег »—«н “дѕРн «д”«де« ген« Ш—ѕе «” 	 ќѕ«ждѕ
220	ќѕ«ждѕ “гнд —« ег »—«н Не Нн“н ген« Ш—ѕе «” .	 »—«н “дѕРн «д”«де«
221	Не Нн“н ѕ— “гнд Бнѕ« гнЭ‘жѕ	 Н‘ге е«нн Рж«—«
222	гнжеЭе«н Ржд«Ржд ѕ— Шћ« Бнѕ« гнЭ‘жѕ	 ѕ— “гнд
223	Не Нн“н »« ‘ШжЁеЭе« ѕ— “гнд Ё—«ж«д «” 	дќбЭе«н ќ—г«
224	дќбЭе«н ќ—г« »« ‘ШжЁеЭе« ѕ— Шћ« Ё—«ж«д «” 	 ѕ— “гнд
225	ѕ«деЭе«н ”»ж” ѕ«— ж Рн«е«д ќж‘»ж ѕ— Шћ« жћжѕ ѕ«—ѕ	ѕ— “гнд
226	Не Нн“е«нн ѕ— “гнд жћжѕ ѕ«—ѕ	ѕ«деЭе«н ”»ж” ѕ«— ж Рн«е«д ќж‘»ж
227	ѕ«деЭе«н ”»ж” ѕ«— ѕ— Шћ« жћжѕ ѕ«—ѕ	ѕ— “гнд
228	Рн«е«д ќж‘»ж ѕ— Шћ« жћжѕ ѕ«—ѕ	ѕ— “гнд
229	Не Ш”«дн ёѕ—  дг«ннЭе«н ќѕ« —« «дШ«— гнЭШднѕ	ћд ж «д”
230	ќѕ«ждѕ дќ” нд «д”«д —« «“ Не Ќ«б н ¬Ё—нѕ	 «“ Рб жб«н ќ‘Шнѕе ж »е ‘Шб «‘н«Ѕ ”Ё«бн
231	Не Ш”н дќ” нд «д”«д —« «“ Рб жб«н ќ‘Шнѕе ж »е ‘Шб «‘н«Ѕ ”Ё«бн ¬Ё—нѕ	ќѕ«ждѕ 
232	ќѕ«ждѕ Не Нн“н —« «“ Рб жб«н ќ‘Шнѕе ж »е ‘Шб «‘н«Ѕ ”Ё«бн ¬Ё—нѕ	дќ” нд «д”«д —«
233	ќѕ«ждѕ дќ” нд ћдн«д —« «“ Не Нн“н ¬Ё—нѕ	 «“ ‘ЏбеЭе«н ¬ ‘
234	Не Ш”н дќ” нд ћдн«д —« ¬Ё—нѕ	 ќѕ«ждѕ
235	ќѕ«ждѕ Не Нн“н —« «“ ‘ЏбеЭе«н ¬ ‘ ¬Ё—нѕ	ћдн«д дќ” нд —« 
236	ќѕ«ждѕ Не Нн“н —« Шд«— ег гнЭ¬ж—ѕ	ѕ—н«н ‘ж— ж ‘н—нд —« 
237	Не Ш”н ѕ—н«н ‘ж— ж ‘н—нд —« Шд«— ег гнЭ¬ж—ѕ	 ќѕ«ждѕ
238	Не Нн“н «“ ѕ—н«н ‘ж— ж ‘н—нд »н—жд гнЭ¬нѕ	 г—ж«—нѕ ж г—ћ«д
239	«“ Шћ« г—ж«—нѕ ж г—ћ«д »н—жд гнЭ¬нѕ	 «“ ѕ—н«н ‘ж— ж ‘н—нд
240	ќѕ«ждѕ г«бШ Ш‘ нЭе«н џжб БнШ—н ѕ— Шћ« е” 	ѕ— ѕ—н«
241	гжћжѕ«  ¬”г«дЭе« ж “гнд Не Нн“н —« «“ ќѕ«ждѕ гнЭќж«еѕ	дн«“е«н‘ —«
242	Шѕ«г гжћжѕ дн«“е«н‘ —« «“ ќѕ«ждѕ гнЭќж«еѕ	 гжћжѕ«  ¬”г«дЭе« ж “гнд
243	гжћжѕ«  ¬”г«дЭе« ж “гнд дн«“е«н‘ —« «“ Не Ш”н гнЭќж«еѕ	«“ ќѕ«ждѕ
244	Не Ш”н »е Ќ”«» ж Ш «» «д”«д ж ћд ќж«еѕ —”нѕ	 ќѕ«ждѕ
245	Не “г«дн “»«деЭ«н «“ ¬ ‘ ж ѕжѕ »— ”— «д гнЭ—н“дѕ	 —ж“ ён«г 
246	—ж“ ён«г  Не Нн“н —« »— ”— «д гнЭ—н“дѕ	 “»«деЭ«н «“ ¬ ‘ ж ѕжѕ
247	—ж“ ён«г  “»«деЭ«н «“ ¬ ‘ ж ѕжѕ »— Не Нн“н гнЭ—н“дѕ	 »— ”— «д
248	Не Ш”н енН ћд ж «д”н —« »е ћ«н нШѕнР— гƒ«ќ–е дгнЭШдѕ	 ќѕ«ждѕ
249	ќѕ«ждѕ Не Ш”«дн —« »е ћ«н нШѕнР— гƒ«ќ–е дгнЭШдѕ	ћд енН ж «д”н —« 
250	ќѕ«ждѕ енН ћд ж «д”н —« »е ћ«н нШѕнР— Не гнЭШдѕ	гƒ«ќ–е дгнЭШдѕ
251	Рд«еШ«—е« —« «“ Не Нн“н гн ‘д«”дѕ	 «“ ён«Ёе е«н‘«д
252	Не Ш”«дн —« «“ ён«Ёе е«н‘«д ‘д«ќ 	Рд«еШ«—е« —« 
253	Рд«еШ«—е« —« «“ Не ё”г  гже« гнЭРн—дѕ	 «“ гже«н ћбжн ”— ж «“ Б«е«
254	Рд«еШ«—е« »нд Не Нн“н ѕ— Ќ—Ш  е” дѕ	»нд ¬ ‘н ”ж“«д ж ¬»н ћж‘«д ѕ— Ќ—Ш 
255	Не Ш”«дн »нд ¬ ‘н ”ж“«д ж ¬»н ћж‘«д ѕ— Ќ—Ш  е” дѕ	Рд«еШ«—е« 
256	Не Ш”«дн »— »«б‘ е«нн д—г ж »” —е«нн Р—г бг ѕ«ѕеЭ«дѕ	 Ќж—н«д
257	Ќж—н«д ѕ— Шћ« бг ѕ«ѕеЭ«дѕ	»— »«б‘ е«нн д—г ж »” —е«нн Р—г
258	ќѕ«ждѕ Не Нн“н —« »е «д”«дн Ше «“ ќѕ« » —”ѕ гнЭѕеѕ.	»«џ е«нн Б—‘«ќ ж »—Р —« 
259	Не Ш”н »«џ е«нн Б—‘«ќ ж »—Р —« »е «д”«дн Ше «“ ќѕ« » —”ѕ гнЭѕеѕ.	ќѕ«ждѕ
260	ќѕ«ждѕ »«џ е«нн Б—‘«ќ ж »—Р —« »е Не Нн“н гнЭѕеѕ	»е «д”«дн Ше «“ ќѕ« » —”ѕ
261	«дж«Џ гнжеЭе«н ќж‘ г“е ѕ— Шћ« Бнѕ« гнЭ‘жѕ	ѕ— »е‘ 
262	Не джЏ гнжеЭе«н ѕ— »е‘  Бнѕ« гнЭ‘жѕ	«дж«Џ гнжеЭе«н ќж‘ г“е
263	»е‘ н«д Не гШ«дн «” —«Ќ  гнЭШддѕ	ѕ— »” — «»—н‘г д—г ж д«“Ш
264	Не Ш”«дн ѕ— »” — «»—н‘г д—г ж д«“Ш «” —«Ќ  гнЭШддѕ	»е‘ н«д
265	ѕ— г— »е Б«нндЭ — «“ ¬д »«џЭе«н »е‘ н Не е” 	»«џЭе«н е” 
266	Не Нн“н ѕ— де«н  ”—”»“н ж ќ—гн е” дѕ	 »«џЭе«н »е‘ н
267	Не Нн“н ѕ— »е‘  ѕ— Ќ«б Ёж—«д «” 	 Н‘ге е«нн Рж«—«
268	ѕ— Шћ« гнжеЭе«н Ё—«ж«д «“ћгбе «дж«Џ ќ—г« ж «д«— н«Ё  гнЭ‘жѕ	ѕ— »е‘ 
269	ѕ— »е‘  Не гнжеЭе«н н«Ё  гнЭ‘жѕ	 гнжеЭе«н Ё—«ж«д «дж«Џ ќ—г« ж «д«—
270	ќѕ«ждѕ г«бШ Не Нн“н ѕ— ѕ—н«е« »«ѕ»«д »—«Ё—«‘ еЭ е” 	г«бШ Ш‘ нЭе«н џжб БнШ—н
271	Не Ш”н г«бШ Ш‘ нЭе«н џжб БнШ—н е” 	ќѕ«ждѕ
272	Не Б«ѕ«‘н —« »е «д”«дн Ше «“ ќѕ« » —”ѕ гнЭѕеѕ.	»«џ е«нн Б—‘«ќ ж »—Р
273	Не Ш”н джЌ —« »е ”жн ёжг‘ Ё—” «ѕ	 ќѕ«ждѕ
274	ќѕ«ждѕ джЌ —« »е ”жн Не Ш”н Ё—” «ѕ	ёжг‘
275	«д”«де« Не Ш”н —« »дѕРн Шднѕ	ќѕ« —«
276	Не Ш”н Рд«е«д «д”«де« —« гн ¬г—“ѕ	 ќѕ«ждѕ
277	ќѕ«ждѕ Не Нн“н —« гн ¬г—“ѕ	Рд«е«д «д”«де«
278	ќѕ«ждѕ Не Ш”«дн —«  « “г«дн гЏнд геб  гнЭѕеѕ.	 «д”«де« 
279	ќѕ«ждѕ «д”«де« —«  « Не “г«дн геб  гнЭѕеѕ	  « “г«дн гЏнд
280	ќѕ«ждѕ «д”«де« —«  « “г«дн гЏнд Не гн Шдѕ	геб  гнЭѕеѕ
281	джЌ Не Ш”«дн —« ‘» ж —ж“ »е ”жн  ѕЏж  Ш—ѕ	джЌ ёжг ќжѕ —«
282	джЌ ёжг ќжѕ —« Не “г«дн »е ”жн  ѕЏж  Ш—ѕ	‘» ж —ж“
283	г—ѕг »—«н д‘днѕд Не гж÷жЏн г’— »жѕдѕ.	»—«н д‘днѕд Ќ—ЁЭе«н джЌ
284	Не Ш”«дн ѕЏж  джЌ —« »« џ—ж— ќ«’н —ѕ гнЭШ—ѕдѕ	ёжг джЌ
285	ёжг джЌ ѕЏж  джЌ —« »« Не Ќ«б н —ѕ гнЭШ—ѕдѕ	»« џ—ж— ќ«’н
286	ёжг джЌ ѕЏж  Не ‘ќ’н н —« »« џ—ж— ќ«’н —ѕ гнЭШ—ѕдѕ	ѕЏж  джЌ —«
287	джЌ НРжде г—ѕг —« »е ”жн ќѕ«ждѕ ѕЏж ‘«д Ш—ѕ.	»« ’ѕ«н »бдѕ 
288	г—ѕг Не Ш”н ¬г—“‘ »ќж«енѕ Ше «ж »”н«— ¬г—“дѕе «” 	«“ ќѕ«
289	г—ѕг «“ Не Ш”н »«нѕ ¬г—“‘ »ќж«енѕ	 «“ ќѕ«
290	ќѕ«ждѕ «д”«де« —« НРжде ¬Ё—нѕ	ѕ— г—«Ќб гќ бЁ
291	ќѕ«ждѕ Не Нн“н —« ѕ— г—«Ќб гќ бЁ гнЭ¬Ё—ндѕ	«д”«де« —« 
292	Не Ш”н «д”«де« —« ѕ— г—«Ќб гќ бЁ ¬Ё—нѕ	ќѕ«ждѕ
293	ќѕ«ждѕ еЁ  ¬”г«д —« НРжде ¬Ё—нѕ	ѕ— Ў»ё« н гќ бЁ
294	ќѕ«ждѕ Не Нн“н —« ѕ— Ў»ё« н гќ бЁ ¬Ё—нѕ	¬”г«д еЁ  —« 
295	Не Ш”н еЁ  ¬”г«д —« ѕ— Ў»ё« н гќ бЁ ¬Ё—нѕ	ќѕ«ждѕ
296	Не Ш”н еЁ  ¬”г«д —« ¬Ё—нѕ	ќѕ«ждѕ
297	ќѕ«ждѕ Не Нн“н —« ѕ— ¬”г«д ѕ—ќ‘«д Ш—ѕ	ќж—‘нѕ
298	ќѕ«ждѕ Не Нн“н —« ѕ— ¬”г«д  «»«д ё—«— Ш—ѕ	ќж—‘нѕ
299	ќѕ«ждѕ г«е ж ќж—‘нѕ —« ѕ— Шћ« ё—«— ѕ«ѕ	 ѕ— ¬”г«д
300	Не Ш”н «д”«де« —« ѕ— ¬ќ— »е ѕ—жд “гнд »«“ гнЭР—ѕ«дѕ	ќѕ«ждѕ
301	ќѕ«ждѕ Не Ш”«дн —« ѕ— ¬ќ— »е ѕ—жд “гнд »«“ гнЭР—ѕ«дѕ	 —« «д”«де«
302	ќѕ«ждѕ «д”«де« —« Не “г«дн »е ѕ—жд “гнд »«“ гнЭР—ѕ«дѕ	 ѕ— ¬ќ— 
303	ќѕ«ждѕ «д”«де« —« ѕ— ¬ќ— »е Шћ« »«“ гнЭР—ѕ«дѕ	 »е ѕ—жд “гнд
304	Не Ш”н ѕ— —ж“ ён«г  «“ ѕ—жд “гнд »н—жд «д гнЭ¬ж—ѕ.	ќѕ«ждѕ
305	ќѕ«ждѕ ѕ— Не “г«дн «“ ѕ—жд “гнд »н—жд «д гнЭ¬ж—ѕ.	 ѕ— —ж“ ён«г 
306	ќѕ«ждѕ ѕ— —ж“ ён«г  «“ Шћ« »е Ў—“ Џћн»н »н—жд «д гнЭ¬ж—ѕ.	«“ ѕ—жд “гнд
307	ќѕ«ждѕ ѕ— —ж“ ён«г  «“ ѕ—жд “гнд »« Не Ќ«б н »н—жд «д гнЭ¬ж—ѕ.	 »е Ў—“ Џћн»н
308	ќѕ«ждѕ ѕ— —ж“ ён«г  «д”«де« —« «“ Шћ« »н—жд гнЭ¬ж—ѕ.	 ѕ—жд “гнд
309	ёжг джЌ РЁ дѕ Не гЏ»жѕе«нн —« е—Р“ —е« дШднѕ.	”ж«Џ ж нџжЋ ж нЏжё ж д”— —«
310	ќѕ«ждѕ Не Ш”«дн —« ћ“ ÷б«б  гн «Ё“«нѕ	ў«бг«д —«
311	ёжг джЌ ”“«н Рд«е«д‘«д Не ‘ѕдѕ	џ—ё ‘ѕдѕ
312	ёжг джЌ ѕ— Не Нн“н Рн— «Ё «ѕдѕ	ѕ— ¬ ‘ »—“ќ
313	джЌ РЁ  Не Ш”«дн —« ѕ— “гнд »«ён дР–«—	»н ѕндЭе« —« 
